Czy wykonywal zadanie;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level
0;57702;20340;2863;5823;2332;3945;1254;333;81;88
0;90203;81023;33784;2644;8763;8619;4322;3195;75;80
0;89644;37887;6161;7108;5901;13540;7782;4327;80;63
0;356553;12469;3768;3155;1553;1101;350;176;80;63
0;646612;37575;8038;24456;7366;11758;4195;660;80;63
0;1149902;29246;21873;11185;35507;20876;4639;2690;80;63
0;91412;12593;824;6415;1016;2015;1408;523;80;63
0;3260;990;357;259;150;78;33;17;80;63
0;1591260;69163;9654;34984;17675;16636;7583;657;80;63
0;273826;2457;2999;1788;594;2152;589;183;81;70
0;560604;39142;29411;2004;9159;6733;536;648;81;70
0;167696;16088;2099;1081;3872;7486;4198;1353;81;70
0;598105;198996;100154;43273;36062;25948;6459;2776;81;70
0;3367600;22066;56419;31719;34330;13179;4358;3695;81;70
0;1983387;56038;55355;25904;23871;19192;7332;2094;81;70
0;1399590;72035;27499;39042;34121;48468;9472;10665;81;70
0;2098946;68960;57732;29186;57111;58393;13677;4855;81;70
0;138413;34885;965;8322;11903;7411;2279;214;81;70
0;1932257;35734;24197;9327;6161;9544;2775;1327;81;80
0;939926;243932;143647;25987;120890;114399;8842;7335;93;80
0;2503354;451412;60478;299100;229403;118737;24336;10571;88;88
0;305371;127471;50474;38046;15730;26169;10213;6553;88;88
0;105663;33531;13298;6005;2175;7831;521;951;88;88
0;559054;323123;158964;41963;58272;88015;15389;3056;81;78
0;1559791;120905;99545;127230;13369;40877;15455;12817;80;84
0;2271909;50148;28573;18455;11218;11850;1583;1012;80;84
0;656802;130078;19844;33762;19167;25668;9176;762;74;84
0;132574;15906;5695;5846;4652;2683;559;279;69;87
0;2076484;85515;6528;17032;3842;6667;955;1288;69;87
1;1913507;40636;9660;8911;5225;5234;1038;241;69;87
1;591562;72633;21146;16883;19956;7794;2095;490;61;84
1;1229294;229230;18260;154424;202590;169611;71559;40697;61;84
1;985066;126447;320;12452;7961;3401;1617;589;61;84
1;1632349;82367;39037;16991;35418;33734;14146;4466;61;84
1;1563515;349574;218494;60090;126849;96654;19009;10288;64;74
1;64286;120355;64744;56476;66735;78363;9116;4306;74;77
1;614241;75317;16241;24949;23598;11249;4841;2038;70;74
1;60777;412673;173767;32427;128909;97881;18353;10384;78;70
1;148586;14698;5445;2802;3966;1717;830;334;78;70
1;761995;43611;71937;121575;40203;97337;2835;9841;78;70
1;655458;32567;14730;7207;11845;6693;1564;1638;78;70
1;1139313;204094;73720;33000;84266;50927;10407;9119;78;70
1;874845;1037049;228951;98911;114373;80888;39226;11542;69;64
1;1835640;348890;86017;37027;63363;93260;10322;4998;69;64
1;552869;82641;80282;31131;17917;14557;2173;5639;69;64
1;264725;55860;22366;12919;7939;8331;1914;545;69;64
1;147677;577759;88398;193743;31027;110902;10562;8218;60;64
1;170243;29811;11290;12169;19721;19730;2998;1184;60;64
1;2395838;292164;178433;28369;25231;42906;5567;4996;60;64
1;466390;196675;63734;32600;42254;49119;3358;1211;60;64
1;3707947;362283;90511;176526;70486;138452;37042;27932;69;67
1;172828;72797;33828;5010;12389;10232;973;543;69;67
1;23130;6803;2437;3181;3427;20220;20370;10150;69;67
1;368669;12870;5828;15986;32300;27496;3009;1151;69;67
1;201104;35199;2649;11310;5603;3543;1033;627;61;67
1;1785979;211453;26343;68335;103444;50461;6338;5685;70;66
1;1072018;116648;20967;22762;12086;14955;12877;3679;70;66
1;1503101;16424;6768;3718;6601;7826;1268;399;70;66
1;1338051;172982;19001;139281;55888;80389;15234;5232;77;69
1;1910949;66502;11857;25321;9661;13580;2406;1263;70;67
1;1570233;290244;322312;67566;153549;56306;25434;23555;70;78
1;2846036;905314;150195;224081;56157;51737;18957;17377;57;83
1;353048;394231;54893;97030;52766;92663;5333;8947;54;75
1;1914463;1191575;817795;998308;767602;604128;574117;259820;54;75
1;208048;40326;41425;14885;36629;20859;5657;2735;54;75
1;1493518;581963;417400;76873;178420;156320;54705;71019;54;75
1;359851;23727;3254;4560;2168;5045;1854;420;54;75
1;590308;126125;17367;77819;57844;122854;4943;2620;54;75
1;728519;284947;32381;48976;9872;20796;11506;4554;47;66
